,上海市城市轨道交通,上海市城市轨道交通,上海市城市轨道交通,http://www.shmetro.com/node78/node80/201303/con112829.htm,,,,,,,,,,
,,,,,,,,,,,,,,
日期,总日客流量(万),1号线客流量(万),2号线客流量(万),3号线客流量(万),4号线客流量(万),5号线客流量(万),6号线客流量(万),7号线客流量(万),8号线客流量(万),9号线客流量(万),10号线客流量(万),11号线客流量(万),13号线客流量(万),日换成客流(万)
2013.3.8,848.6,137,165,64,89,16,35,72,87,78,68,31,5.1,330.9
2013.3.7,742.2,,,,,,,,,,,,,
2013.3.6,747.5,,,,,,,,,,,,,
2013.3.5,748.2,,,,,,,,,,,,,
2013.3.4,743.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2012.10.22,754.8,,,,,,,,,,,,,
2012.4.20,721.1,119,142,55,81,14,30,64,72,63,56,25,,
2010.9.21,696,,,,,,,,,,,,,
2010.8.16,673.5,131,132,52,79,13,27,57,70,50,30,19,13,
