,北京私车牌照摇号数据,北京私车牌照摇号数据,北京市小客车指标调控管理办公室,http://www.bjhjyd.gov.cn/jggb/index.html,,
,,,,,,
日期,单位指标配置初始值,配置单位指标总数,有效单位申请编码总数,个人指标配置初始值,配置个人指标总数,有效单位个人编码总数
2011.01,,,,40815,17600,187420
2011.02,873469,4000,8726,624249,17600,292280
2011.03,,,,390628,17600,397543
2011.04,53350,4000,18341,194144,17600,476861
2011.05,,,,119266,17600,533805
2011.06,922668,4000,22652,112892,17600,577856
2011.07,,,,539668,17600,614441
2011.08,177814,4000,23464,550828,19001,653113
2011.09,,,,42413,19458,695191
2011.1,350393,4000,23308,137279,19732,730586
2011.11,,,,287800,20041,780978
2011.12,455105,4000,23519,589656,20178,823665
,,,,,,
2012.01,,,,48187,20210,871832
2012.02,888759,3200,16793,796843,20084,921244
2012.03,,,,890639,20282,971008
2012.04,331759,3200,30386,233137,20255,842938
2012.05,,,,504979,20139,903097
2012.06,893811,3200,36268,126691,20093,948676
2012.07,,,,939240,20040,927436
2012.08,764023,3200,39722,937544,19926,1052692
2012.09,,,,55220,19891,1161967
2012.1,268537,3200,41660,909209,19833,1172536
2012.11,,,,123714,18832,1264862
2012.12,590946,3200,44021,637716,18784,1338451
,,,,,,
2013.01,,,,596743,18653,1404026
2013.02,773176,3200,26891,190187,18511,1423198
2013.03,,,,677469,18457,1468688
2013.04,224759,3200,44264,262661,18482,1489750
2013.05,,,,164894,18473,1512615
2013.06,8553,3200,50932,394951,18389,1530063
2013.07,,,,231250,18485,1515449
2013.08,603024,3200,53425,745061,18499,1552980
2013.09,,,,,,
2013.1,,,,,,
2013.11,,,,,,
2013.12,,,,,,
