,手机即时通讯软件用户量,手机即时通讯软件用户量,互联网,,,
,,,,,,
日期,地区,Line(亿),微信,Whats App,易信,KakaoTalk
2013.08,全球,2.3,,,,
2013.07,,,,,,1
2013.06,,,,2.5,,
2013.05,,1.5,,,,
2013.04,,,4,,,
2013.03,,,,,,
2013.02,,,,,,
2013.01,,,3,,,
2012.12,,,,,,
2012.11,,,,,,
2012.1,,0.7,,,,
2012.09,,,2,,,
2012.08,,0.585,,,,
2012.07,,,,,,
2012.06,,0.446,,,,
2012.05,,,,,,
2012.04,,0.3008,,,,
2012.03,,,1,,,
2012.02,,0.213,,,,
2012.01,,,,,,
2011.12,,0.113,,,,
2011.11,,,,,,
2011.1,,0.039,,,,
2011.09,,,,,,
2011.08,,0.0049,,,,
2011.07,,,,,,
2011.06,,0.00054,,,,
2011.05,,,,,,
2011.04,,,,,,
2011.03,,,,,,
2011.02,,,,,,
2011.01,,,,,,
2010.12,,,,,,
2010.11,,,,,,
2010.1,,,,,,
2010.09,,,,,,
2010.08,,,,,,
2010.07,,,,,,
2010.06,,,,,,
2010.05,,,,,,
2010.04,,,,,,
2010.03,,,,,,
2010.02,,,,,,
2010.01,,,,,,
2009.12,,,,,,
2009.11,,,,,,
2009.1,,102.1,,80.1,,
2009.09,,,,,,
2009.08,,,,,,
2009.07,,,,,,
2009.06,,,,,,
2009.05,,,,,,
2009.04,,,,,,
2009.03,,,,,,
2009.02,,,,,,
2009.01,,,,,,
