,,ChinaJoy展会数据,ChinaJoy展会数据,Chinajoy,,
,,,,,,
日期,,第一日,第二日,第三日,第四日,总数
2013.7,普通观众,31560,45915,47098,25303,149876
2013.7,专业观众,4337,5644,3565,68,13614
2013.7,展商,9661,8764,9877,5994,34296
2013.7,媒体,2617,2148,1809,700,7274
2013.7,总数,48175,62471,62349,32865,205860
2012.7,普通观众,34345,48202,,,
2012.7,专业观众,4348,14320,,,
2012.7,展商,,,5787,,
2012.7,媒体,1227,3660,1214,,
2012.7,总数,39920,66182,52576,38000,197000
2011.7,普通观众,,,,,
2011.7,专业观众,,,,,
2011.7,展商,,,,,
2011.7,媒体,,,,,
2011.7,总数,32508,47639,44059,32031,156237
2010.7,普通观众,,,,,
2010.7,专业观众,,,,,
2010.7,展商,,,,,
2010.7,媒体,,,,,
2010.7,总数,,,,,
