,中国联通运营数据,中国联通运营数据,中国联通,,,,,,
,,,,,,,,,
日期,3G用户当月新增(万),3G用户总量(万),3G用户ARPU(元),2G当月用户新增(万),2G用户总量(万),固定电话当月新增(万),固定电话总量(万),宽带当月新增(万),宽带总量(万)
2013.07 ,385.6,10388.4,77.6,-45.6,16168.5,36.3,8933.2,59.1,6316.6
2013.06 ,413.3,10002.8,,-32.7,16214.1,44.5,8969.5,60.3,6257.5
2013.05 ,,,,,,,,,
2013.04 ,,,,,,,,,
2013.03 ,,,,,,,,,
2013.02 ,,,,,,,,,
2013.01 ,,,,,,,,,
2012.12 ,,,,,,,,,
2012.11 ,,,,,,,,,
2012.10 ,,,,,,,,,
2012.09 ,,,,,,,,,
2012.08 ,,,,,,,,,
2012.07 ,,,,,,,,,
2012.06 ,,,,,,,,,
2012.05 ,,,,,,,,,
2012.04 ,,,,,,,,,
2012.03 ,,,,,,,,,
2012.02 ,,,,,,,,,
2012.01 ,,,,,,,,,
2011.12 ,,,,,,,,,
2011.11 ,,,,,,,,,
2011.10 ,,,,,,,,,
2011.09 ,,,,,,,,,
2011.08 ,,,,,,,,,
2011.07 ,,,,,,,,,
2011.06 ,,,,,,,,,
2011.05 ,,,,,,,,,
2011.04 ,,,,,,,,,
2011.03 ,,,,,,,,,
2011.02 ,,,,,,,,,
2011.01 ,,,,,,,,,
2010.12 ,,,,,,,,,
2010.11 ,,,,,,,,,
2010.10 ,,,,,,,,,
2010.09 ,,,,,,,,,
2010.08 ,,,,,,,,,
2010.07 ,,,,,,,,,
2010.06 ,,,,,,,,,
2010.05 ,,,,,,,,,
2010.04 ,,,,,,,,,
2010.03 ,,,,,,,,,
2010.02 ,,,,,,,,,
2010.01 ,,,,,,,,,
2009.12 ,,,,,,,,,
2009.11 ,,,,,,,,,
2009.10 ,,102.1,,80.1,14400,-94.7,10600,53.9,3800.6
2009.09 ,,,,,,,,,
2009.08 ,,,,,,,,,
2009.07 ,,,,,,,,,
2009.06 ,,,,,,,,,
2009.05 ,,,,,,,,,
2009.04 ,,,,,,,,,
2009.03 ,,,,,,,,,
2009.02 ,,,,,,,,,
2009.01 ,,,,,,,,,
