,最低工资调整情况,最低工资调整情况,人社部
,,,
日期,地区,月最低工资,小时最低工资
1994.12.1,北京,210,
1995.7.1,北京,240,
1996.7.1,北京,270,
1997.6.1,北京,290,
1998.7.1,北京,310,
1999.5.1,北京,320,
1999.9.1,北京,400,
2000.7.1,北京,412,
2001.7.1,北京,435,
2002.7.1,北京,465,
2003.7.1,北京,495,
2004.7.1,北京,545,
2005.7.1,北京,580,
2006.7.1,北京,640,
2007.7.1,北京,730,
2008.7.1,北京,800,
2010.7.1,北京,960,
2011.1.1,北京,1160,
2012.1.1,北京,1260,14
2013.1.1,北京,1400,15.2
1993.6.1,上海,210,
1994.7.1,上海,220,
1995.4.1,上海,270,
1996.4.1,上海,300,
1997.4.1,上海,315,
1998.4.1,上海,325,
1999.4.1,上海,370,
1999.7.1,上海,423,
2000.12.1,上海,445,
2001.7.1,上海,490,
2002.7.1,上海,535,
2003.7.1,上海,570,
2004.7.1,上海,635,
2005.7.1,上海,690,
2006.9.1,上海,750,
2007.9.1,上海,840,
2008.4.1,上海,960,
2010.4.1,上海,1120,
2011.4.1,上海,1280,
2012.4.1,上海,1450,12.5
2013.4.1,上海,1620,14
,,,
2013.6.1,新疆,1520,15.2
2013.5.1,云南一类地区,1265,11
2013.5.1,云南二类地区,1130,10
2013.5.1,云南三类地区,955,9
2013.5.1,广东一类地区,1550,15
2013.5.1,广东二类地区,1310,12.5
2013.5.1,广东三类地区,1130,11.1
2013.5.1,广东四类地区,1010,10
2013.3.1,深圳,1600,14.5
,,,
2013.4.1,天津,1500,15
,,,
2013.7.1,江苏,1480,13
,,,
2013.1.1,浙江,1470,12
,,,
2013.3.1,山东,1380,14.5
,,,
,,,
2013.7.1,辽宁,1300,13
